$GPRMC,160315.00,A,3204.305,N,03446.682,E,0.15,80.12,010525,,,A*6A
$GPRMC,160316.00,A,3204.307,N,03446.685,E,0.18,79.55,010525,,,A*6F
$GPRMC,160317.00,A,3204.309,N,03446.688,E,0.21,78.98,010525,,,A*6B
$GPRMC,160318.00,A,3204.311,N,03446.691,E,0.24,78.41,010525,,,A*6C
$GPRMC,160319.00,A,3204.313,N,03446.694,E,0.27,77.84,010525,,,A*6D
$GPRMC,160320.00,A,3204.315,N,03446.697,E,0.30,77.27,010525,,,A*68
$GPRMC,160321.00,A,3204.317,N,03446.700,E,0.33,76.70,010525,,,A*69
$GPRMC,160322.00,A,3204.319,N,03446.703,E,0.36,76.13,010525,,,A*6E
$GPRMC,160323.00,A,3204.321,N,03446.706,E,0.39,75.56,010525,,,A*6F
$GPRMC,160324.00,A,3204.323,N,03446.709,E,0.42,74.99,010525,,,A*6B
